Kimlik,Tür,"Stok kodu (SKU)",İsim,Yayımlanmış,"Öne çıkan?","Katalogda görünürlük","Kısa açıklama",Açıklama,"İndirimli fiyatın başladığı tarih","İndirimli fiyatın bittiği tarih","Vergi durumu","Vergi sınıfı",Stokta?,Stok,"Düşük stok miktarı","Yok satmaya izin?","Ayrı ayrı mı satılıyor?","Ağırlık (kg)","Uzunluk (cm)","Genişlik (cm)","Yükseklik (cm)","Müşteri değerlendirmelerine izin verilsin mi?","Satın alma notu","İndirimli satış fiyatı","Normal fiyat",Kategoriler,Etiketler,"Gönderim sınıfı",Görseller,"İndirme sınırı","İndirme sona erme günü",Ebeveyn,"Gruplanmış ürünler","Yukarı satışlar","Çapraz satışlar","Harici URL","Düğme metni",Konum
184755,simple,kaya-000-1400,"3992-89665T - UNIVERSAL UNIVERSAL-; PLAKA LAMBASI (FPI)",1,0,visible,,"3992-89665T - UNIVERSAL - UNIVERSAL",,,taxable,,0,0,,0,0,,,,,1,,,432,"UNIVERSAL > UNIVERSAL > PLAKA LAMBASI, UNIVERSAL, UNIVERSAL > UNIVERSAL","3992-89665T, UNIVERSAL",,,,,,,,,,,0
184756,simple,kaya-000-1905,"UNIVERSAL UNIVERSAL-; CAM SU BİDONU MOTORU 24VOLT",1,0,visible,,"UNIVERSAL - UNIVERSAL",,,taxable,,1,2,,0,0,,,,,1,,,343,"UNIVERSAL > UNIVERSAL > CAM SU BİDONU MOTORU, UNIVERSAL > UNIVERSAL, UNIVERSAL",UNIVERSAL,,"http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-1905_117649.jpg, http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-1905_117650.jpg, http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-1905_117651.jpg",,,,,,,,,0
184757,simple,kaya-000-1992,"UNIVERSAL UNIVERSAL-; SİLGİ MANEVRA KOL AŞIĞI 10MM ÜÇGEN TİP TÜM ARAÇLAR İÇİN",1,0,visible,,"UNIVERSAL - UNIVERSAL",,,taxable,,1,2,,0,0,,,,,1,,,29,"UNIVERSAL > UNIVERSAL > SİLGİ MANEVRA KOL AŞIĞI, UNIVERSAL > UNIVERSAL, UNIVERSAL",UNIVERSAL,,"http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-1992_117655.jpg, http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-1992_117656.jpg, http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-1992_117657.jpg",,,,,,,,,0
184758,simple,kaya-000-1993,"UNIVERSAL UNIVERSAL-; SİLGİ MANEVRA KOL AŞIĞI 12MM ÜÇGEN TİP TÜM ARAÇLAR İÇİN",1,0,visible,,"UNIVERSAL - UNIVERSAL",,,taxable,,1,2,,0,0,,,,,1,,,59,"UNIVERSAL > UNIVERSAL > SİLGİ MANEVRA KOL AŞIĞI, UNIVERSAL, UNIVERSAL > UNIVERSAL",UNIVERSAL,,"http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-1993_117661.jpg, http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-1993_117662.jpg, http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-1993_117663.jpg",,,,,,,,,0
184759,simple,kaya-000-2119,"7703077435 - UNIVERSAL UNIVERSAL-; ÇAMURLUK DAVLUMBAZ KLİPSİ (RENAULT/DACIA)",1,0,visible,,"7703077435 - UNIVERSAL - UNIVERSAL",,,taxable,,1,2,,0,0,,,,,1,,,3,"UNIVERSAL > UNIVERSAL > ÇAMURLUK DAVLUMBAZI KLİPSİ, UNIVERSAL, UNIVERSAL > UNIVERSAL","7703077435, UNIVERSAL",,"http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-2119_136620.jpg, http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-2119_136621.jpg",,,,,,,,,0
184760,simple,kaya-000-2119A,"7703077225 - UNIVERSAL UNIVERSAL-; ÇAMURLUK DAVLUMBAZ KLİPSİ (RENAULT/DACIA) (SİYAH)",1,0,visible,,"7703077225 - UNIVERSAL - UNIVERSAL",,,taxable,,1,2,,0,0,,,,,1,,,2,"UNIVERSAL > UNIVERSAL > ÇAMURLUK DAVLUMBAZI KLİPSİ, UNIVERSAL, UNIVERSAL > UNIVERSAL","7703077225, UNIVERSAL",,"http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-2119A_136622.jpg, http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-2119A_136623.jpg",,,,,,,,,0
184761,simple,kaya-000-2119B,"10053182 - UNIVERSAL UNIVERSAL-; ÇAMURLUK DAVLUMBAZ KLİPSİ 7MM (VOLKSWAGEN/FORD)",1,0,visible,,"10053182 - UNIVERSAL - UNIVERSAL",,,taxable,,0,0,,0,0,,,,,1,,,1,"UNIVERSAL > UNIVERSAL > ÇAMURLUK DAVLUMBAZI KLİPSİ, UNIVERSAL > UNIVERSAL, UNIVERSAL","10053182, UNIVERSAL",,http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-2119B_135892.jpg,,,,,,,,,0
184762,simple,kaya-000-2307,"46804433 - UNIVERSAL UNIVERSAL-; KAPUT İZOLATÖR KLİPSİ (FIAT/PEUGEOT/CITROEN/VOLKSWAGEN)",1,0,visible,,"46804433 - UNIVERSAL - UNIVERSAL",,,taxable,,1,2,,0,0,,,,,1,,,4,"UNIVERSAL > UNIVERSAL > KAPUT İÇ DÖŞEME KLİPSİ, UNIVERSAL, UNIVERSAL > UNIVERSAL","46804433, UNIVERSAL",,"http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-2307_135893.jpg, http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-2307_135894.jpg",,,,,,,,,0
184763,simple,kaya-000-2968,"UNIVERSAL UNIVERSAL-; SU FİSKİYE MEMESİ",1,0,visible,,"UNIVERSAL - UNIVERSAL",,,taxable,,1,2,,0,0,,,,,1,,,12,"UNIVERSAL > UNIVERSAL > CAM SU FISKİYE MEMESİ, UNIVERSAL, UNIVERSAL > UNIVERSAL",UNIVERSAL,,http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-2968_131549.jpg,,,,,,,,,0
184764,simple,kaya-000-2971,"UNIVERSAL UNIVERSAL-; SU FİSKİYE HORTUMU BAĞLANTI PLASTİĞİ (T TİP)",1,0,visible,,"UNIVERSAL - UNIVERSAL",,,taxable,,1,2,,0,0,,,,,1,,,2,"UNIVERSAL > UNIVERSAL > SU FISKİYE HORTUMU BAĞLANTISI, UNIVERSAL, UNIVERSAL > UNIVERSAL",UNIVERSAL,,"http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-2971_137364.jpg, http://japonkoreyedekparca.com.tr/wp-content/uploads/2025/11/000-2971_137365.jpg",,,,,,,,,0
